FIPS,Province_State,Combined_Key,Lat,Long_,Population,METRO,pop500,CASTHMA,HIGHCHOL,DIABETES,OBESITY,CANCER,STROKE,MHLTH,CSMOKING,CHOLSCREEN,ACCESS2,CHD,CHECKUP,KIDNEY,BINGE,LPA,ARTHRITIS,BPMED,PHLTH,BPHIGH,COPD,nhosp,nhosp999,totalbeds,estbeds,popage65_older%2018,popblack%2018,pophispanic%2018
25027,Massachusetts,"Worcester, Massachusetts, US",42.35026951,-71.90493363,830622,Worcester,181045,11.5,31.3,9.5,29.9,5.9,3.0,15.2,18.9,76.9,10.8,5.4,75.8,2.9,19.5,28.1,25.1,73.8,13.5,29.3,6.7,10.0,0.0,1708.0,1708.0,15.6,5.3,11.9
01089,Alabama,"Madison, Alabama, US",34.76327133,-86.55069633,372909,Huntsville,178584,10.2,35.2,10.5,33.3,6.5,3.2,14.4,17.0,82.0,13.7,6.7,69.7,3.0,13.3,28.3,31.1,76.5,13.9,36.7,7.7,4.0,1.0,1088.0,1258.0,15.2,24.2,5.1
01089,Alabama,"Madison, Alabama, US",34.76327133,-86.55069633,372909,Huntsville,178584,10.2,35.2,10.5,33.3,6.5,3.2,14.4,17.0,82.0,13.7,6.7,69.7,3.0,13.3,28.3,31.1,76.5,13.9,36.7,7.7,4.0,1.0,1088.0,1258.0,15.2,24.2,5.1
01097,Alabama,"Mobile, Alabama, US",30.78472347,-88.20842409,413210,Mobile,195111,9.7,24.3,25.1,24.4,6.6,3.9,16.0,14.0,68.1,25.0,5.7,74.5,3.4,8.5,20.7,26.5,78.2,15.8,58.4,5.4,4.0,0.0,1695.0,1695.0,16.1,36.3,3.1
01097,Alabama,"Mobile, Alabama, US",30.78472347,-88.20842409,413210,Mobile,195111,9.7,24.3,25.1,24.4,6.6,3.9,16.0,14.0,68.1,25.0,5.7,74.5,3.4,8.5,20.7,26.5,78.2,15.8,58.4,5.4,4.0,0.0,1695.0,1695.0,16.1,36.3,3.1
25013,Massachusetts,"Hampden, Massachusetts, US",42.13440424,-72.63235561,466372,Springfield,153060,12.0,33.7,12.3,35.1,6.0,3.9,17.2,21.3,76.9,13.9,6.6,75.0,3.8,17.3,33.1,26.0,74.3,16.4,32.8,8.3,5.0,0.0,1322.0,1322.0,16.7,9.5,26.1
25013,Massachusetts,"Hampden, Massachusetts, US",42.13440424,-72.63235561,466372,Springfield,153060,12.0,33.7,12.3,35.1,6.0,3.9,17.2,21.3,76.9,13.9,6.6,75.0,3.8,17.3,33.1,26.0,74.3,16.4,32.8,8.3,5.0,0.0,1322.0,1322.0,16.7,9.5,26.1
25009,Massachusetts,"Essex, Massachusetts, US",42.6687626,-70.94687179,789034,"Lynn, Lawrence",166706,11.5,32.7,11.3,32.3,5.0,2.9,15.7,18.8,76.0,19.5,5.3,76.4,3.2,17.3,34.5,21.7,70.3,15.0,29.4,6.5,10.0,1.0,1241.0,1449.0,17.1,4.5,21.9
25009,Massachusetts,"Essex, Massachusetts, US",42.6687626,-70.94687179,789034,"Lynn, Lawrence",166706,11.5,32.7,11.3,32.3,5.0,2.9,15.7,18.8,76.0,19.5,5.3,76.4,3.2,17.3,34.5,21.7,70.3,15.0,29.4,6.5,10.0,1.0,1241.0,1449.0,17.1,4.5,21.9
36119,New York,"Westchester, New York, US",41.16278376,-73.75741653,967506,"New Rochelle, Mount Vernon, Yonkers",340330,9.9,32.8,10.8,27.1,6.0,3.1,12.9,15.6,84.7,13.6,5.7,73.2,3.2,16.6,27.4,22.5,75.1,12.0,30.0,6.0,12.0,1.0,2272.0,2578.0,17.1,14.9,25.1
36119,New York,"Westchester, New York, US",41.16278376,-73.75741653,967506,"New Rochelle, Mount Vernon, Yonkers",340330,9.9,32.8,10.8,27.1,6.0,3.1,12.9,15.6,84.7,13.6,5.7,73.2,3.2,16.6,27.4,22.5,75.1,12.0,30.0,6.0,12.0,1.0,2272.0,2578.0,17.1,14.9,25.1
01125,Alabama,"Tuscaloosa, Alabama, US",33.28726072,-87.52556818,209355,Tuscaloosa,90468,11.3,33.3,10.4,35.7,5.2,3.1,18.4,18.9,75.9,16.5,6.2,70.7,2.8,14.7,31.9,26.6,73.2,13.7,37.1,7.2,3.0,1.0,787.0,957.0,13.2,32.1,3.9
01125,Alabama,"Tuscaloosa, Alabama, US",33.28726072,-87.52556818,209355,Tuscaloosa,90468,11.3,33.3,10.4,35.7,5.2,3.1,18.4,18.9,75.9,16.5,6.2,70.7,2.8,14.7,31.9,26.6,73.2,13.7,37.1,7.2,3.0,1.0,787.0,957.0,13.2,32.1,3.9
25005,Massachusetts,"Bristol, Massachusetts, US",41.79228404,-71.10872211,565217,"Fall River, New Bedford",183929,12.8,35.1,10.7,32.8,6.9,3.7,17.6,24.0,76.5,11.4,7.0,76.6,3.3,17.7,33.0,28.8,74.3,16.3,32.3,9.5,5.0,0.0,1161.0,1161.0,16.8,4.4,8.4
25005,Massachusetts,"Bristol, Massachusetts, US",41.79228404,-71.10872211,565217,"Fall River, New Bedford",183929,12.8,35.1,10.7,32.8,6.9,3.7,17.6,24.0,76.5,11.4,7.0,76.6,3.3,17.7,33.0,28.8,74.3,16.3,32.3,9.5,5.0,0.0,1161.0,1161.0,16.8,4.4,8.4
25021,Massachusetts,"Norfolk, Massachusetts, US",42.16073095,-71.20530408,706775,Quincy,92271,9.5,32.9,9.3,22.1,6.1,2.3,11.7,15.7,81.3,7.4,4.7,74.8,2.4,17.7,22.7,22.1,73.2,10.6,28.1,5.4,5.0,0.0,847.0,847.0,16.9,7.5,4.8
25021,Massachusetts,"Norfolk, Massachusetts, US",42.16073095,-71.20530408,706775,Quincy,92271,9.5,32.9,9.3,22.1,6.1,2.3,11.7,15.7,81.3,7.4,4.7,74.8,2.4,17.7,22.7,22.1,73.2,10.6,28.1,5.4,5.0,0.0,847.0,847.0,16.9,7.5,4.8
02020,Alaska,"Anchorage,Alaska,US",61.14998174,-149.1426986,288000,Anchorage,291826,9.0,31.3,7.2,33.7,5.3,2.2,11.6,18.0,72.0,12.8,4.1,52.2,2.3,20.1,20.4,19.5,62.1,10.5,28.4,4.4,5.0,1.0,708.0,831.0,11.3,5.7,9.3
02020,Alaska,"Anchorage,Alaska,US",61.14998174,-149.14269860000005,288000,Anchorage,291826,9.0,31.3,7.2,33.7,5.3,2.2,11.6,18.0,72.0,12.8,4.1,52.2,2.3,20.1,20.4,19.5,62.1,10.5,28.4,4.4,5.0,1.0,708.0,831.0,11.3,5.7,9.3
04013,Arizona,"Maricopa, Arizona, US",33.34835867,-112.4918154,4485414,"Chandler, Gilbert, Glendale, Mesa, Phoenix, Scottsdale, Surprise, Tempe, Avondale, Peoria",3282887,9.6,29.7,14.9,37.5,16.5,1.8,20.2,26.6,69.6,34.8,3.4,83.4,4.9,13.7,23.4,29.9,51.3,14.7,27.0,7.1,40.0,6.0,8136.0,9244.0,15.2,5.8,31.3
04013,Arizona,"Maricopa, Arizona, US",33.34835867,-112.49181540000001,4485414,"Chandler, Gilbert, Glendale, Mesa, Phoenix, Scottsdale, Surprise, Tempe, Avondale, Peoria",3282887,9.6,29.7,14.9,37.5,16.5,1.8,20.2,26.6,69.6,34.8,3.4,83.4,4.9,13.7,23.4,29.9,51.3,14.7,27.0,7.1,40.0,6.0,8136.0,9244.0,15.2,5.8,31.3
35001,New Mexico,"Bernalillo, New Mexico, US",35.05163625,-106.6703554,679121,"Albuquerque, Rio Rancho",545982,9.2,31.0,6.2,35.9,3.6,3.8,10.2,11.0,68.7,27.3,2.5,65.5,3.3,13.8,15.4,26.4,53.5,11.8,21.2,8.1,6.0,1.0,1408.0,1513.0,16.4,2.9,50.3
35001,New Mexico,"Bernalillo, New Mexico, US",35.05163625,-106.6703554,679121,"Albuquerque, Rio Rancho",545982,9.2,31.0,6.2,35.9,3.6,3.8,10.2,11.0,68.7,27.3,2.5,65.5,3.3,13.8,15.4,26.4,53.5,11.8,21.2,8.1,6.0,1.0,1408.0,1513.0,16.4,2.9,50.3
18097,Indiana,"Marion, Indiana, US",39.78163624,-86.13826325,964582,Indianapolis,820445,11.2,32.7,11.0,34.9,5.6,3.2,15.2,22.0,78.1,14.9,5.9,66.7,3.0,17.4,29.8,23.9,72.8,13.4,33.3,7.6,12.0,4.0,3022.0,3658.0,12.6,28.6,10.6
18097,Indiana,"Marion, Indiana, US",39.78163624,-86.13826325,964582,Indianapolis,820445,11.2,32.7,11.0,34.9,5.6,3.2,15.2,22.0,78.1,14.9,5.9,66.7,3.0,17.4,29.8,23.9,72.8,13.4,33.3,7.6,12.0,4.0,3022.0,3658.0,12.6,28.6,10.6
18003,Indiana,"Allen, Indiana, US",41.09194313,-85.06800636,379299,Fort Wayne,253691,9.1,40.4,10.0,47.5,4.7,3.2,21.6,15.6,78.6,11.9,9.0,72.0,2.0,17.3,26.8,27.0,64.2,13.3,32.6,8.0,7.0,1.0,1402.0,1561.0,14.5,11.5,7.6
18003,Indiana,"Allen, Indiana, US",41.09194313,-85.06800636,379299,Fort Wayne,253691,9.1,40.4,10.0,47.5,4.7,3.2,21.6,15.6,78.6,11.9,9.0,72.0,2.0,17.3,26.8,27.0,64.2,13.3,32.6,8.0,7.0,1.0,1402.0,1561.0,14.5,11.5,7.6
18057,Indiana,"Hamilton, Indiana, US",40.07306535,-86.05244729,338011,"Carmel, Fishers",155985,8.6,30.3,7.4,27.3,6.1,1.8,9.9,13.0,84.4,7.0,3.9,64.1,2.0,19.2,19.9,21.0,72.7,8.3,26.7,4.1,5.0,0.0,470.0,470.0,12.5,3.8,4.1
18057,Indiana,"Hamilton, Indiana, US",40.07306535,-86.05244729,338011,"Carmel, Fishers",155985,8.6,30.3,7.4,27.3,6.1,1.8,9.9,13.0,84.4,7.0,3.9,64.1,2.0,19.2,19.9,21.0,72.7,8.3,26.7,4.1,5.0,0.0,470.0,470.0,12.5,3.8,4.1
18163,Indiana,"Vanderburgh, Indiana, US",38.02658833,-87.58763124,181451,Evansville,117429,10.7,35.9,11.7,34.3,6.8,3.8,17.4,25.3,77.5,13.7,7.8,67.8,3.4,17.3,33.9,30.3,76.1,15.6,37.4,9.5,2.0,0.0,935.0,935.0,16.6,10.5,2.7
18163,Indiana,"Vanderburgh, Indiana, US",38.02658833,-87.58763124,181451,Evansville,117429,10.7,35.9,11.7,34.3,6.8,3.8,17.4,25.3,77.5,13.7,7.8,67.8,3.4,17.3,33.9,30.3,76.1,15.6,37.4,9.5,2.0,0.0,935.0,935.0,16.6,10.5,2.7
18089,Indiana,"Lake, Indiana, US",41.41874274,-87.38277575,485493,"Gary, Hammond",161124,11.7,35.2,17.8,43.9,5.9,5.0,17.1,25.1,79.9,19.9,8.0,71.7,4.0,13.5,38.5,29.6,78.0,18.0,45.0,9.5,11.0,1.0,2114.0,2273.0,16.5,23.2,19.4
18089,Indiana,"Lake, Indiana, US",41.41874274,-87.38277575,485493,"Gary, Hammond",161124,11.7,35.2,17.8,43.9,5.9,5.0,17.1,25.1,79.9,19.9,8.0,71.7,4.0,13.5,38.5,29.6,78.0,18.0,45.0,9.5,11.0,1.0,2114.0,2273.0,16.5,23.2,19.4
17167,Illinois,"Sangamon, Illinois, US",39.75836914,-89.65872023,194672,Springfield,116250,9.7,34.7,10.5,34.0,6.9,3.2,13.3,19.1,81.2,10.0,6.7,69.0,3.1,19.3,24.8,27.8,74.1,12.0,34.4,7.4,2.0,0.0,907.0,907.0,17.8,12.5,2.4
17167,Illinois,"Sangamon, Illinois, US",39.75836914,-89.65872023,194672,Springfield,116250,9.7,34.7,10.5,34.0,6.9,3.2,13.3,19.1,81.2,10.0,6.7,69.0,3.1,19.3,24.8,27.8,74.1,12.0,34.4,7.4,2.0,0.0,907.0,907.0,17.8,12.5,2.4
17097,Illinois,"Lake, Illinois, US",42.3224907,-88.00367925,696535,Waukegan,89078,9.7,31.2,12.1,35.5,4.5,2.9,14.9,21.0,78.9,24.5,5.7,65.9,3.1,18.3,31.9,21.2,69.1,13.7,32.4,6.7,7.0,2.0,901.0,1311.0,14.2,6.6,22.2
17097,Illinois,"Lake, Illinois, US",42.3224907,-88.00367925,696535,Waukegan,89078,9.7,31.2,12.1,35.5,4.5,2.9,14.9,21.0,78.9,24.5,5.7,65.9,3.1,18.3,31.9,21.2,69.1,13.7,32.4,6.7,7.0,2.0,901.0,1311.0,14.2,6.6,22.2
18105,Indiana,"Monroe, Indiana, US",39.16130004,-86.52414358,148431,Bloomington,80405,10.4,26.1,6.9,24.8,4.5,2.3,17.1,21.5,68.7,12.4,4.2,59.2,2.5,18.3,25.0,17.4,68.0,10.3,23.0,5.6,2.0,1.0,297.0,456.0,13.0,3.0,3.5
18105,Indiana,"Monroe, Indiana, US",39.16130004,-86.52414358,148431,Bloomington,80405,10.4,26.1,6.9,24.8,4.5,2.3,17.1,21.5,68.7,12.4,4.2,59.2,2.5,18.3,25.0,17.4,68.0,10.3,23.0,5.6,2.0,1.0,297.0,456.0,13.0,3.0,3.5
33011,New Hampshire,"Hillsborough, New Hampshire, US",42.91537785,-71.7200253,417025,"Manchester, Nashua",196059,11.0,31.2,8.7,29.6,6.7,2.7,12.9,16.9,79.6,10.5,5.5,71.8,2.7,18.0,25.2,25.2,74.1,11.9,28.6,6.6,7.0,2.0,1047.0,1370.0,15.6,3.3,7.0
33011,New Hampshire,"Hillsborough, New Hampshire, US",42.91537785,-71.7200253,417025,"Manchester, Nashua",196059,11.0,31.2,8.7,29.6,6.7,2.7,12.9,16.9,79.6,10.5,5.5,71.8,2.7,18.0,25.2,25.2,74.1,11.9,28.6,6.6,7.0,2.0,1047.0,1370.0,15.6,3.3,7.0
34017,New Jersey,"Hudson, New Jersey, US",40.73766234,-74.07515667,672391,"Jersey City, Union City",314052,8.2,31.9,11.6,28.6,4.5,2.6,13.6,17.5,80.8,18.2,4.9,73.7,2.8,16.9,33.3,17.9,70.8,12.4,30.8,5.1,6.0,0.0,1704.0,1704.0,11.8,12.2,42.9
34017,New Jersey,"Hudson, New Jersey, US",40.73766234,-74.07515667,672391,"Jersey City, Union City",314052,8.2,31.9,11.6,28.6,4.5,2.6,13.6,17.5,80.8,18.2,4.9,73.7,2.8,16.9,33.3,17.9,70.8,12.4,30.8,5.1,6.0,0.0,1704.0,1704.0,11.8,12.2,42.9
32031,Nevada,"Washoe, Nevada, US",40.66562265,-119.6631594,471519,"Reno, Sparks",315485,8.6,37.5,4.7,21.8,4.3,2.7,19.3,11.4,67.9,7.3,5.4,62.5,2.1,25.3,34.7,28.9,67.8,22.2,22.5,10.0,6.0,0.0,1261.0,1261.0,16.4,2.5,24.8
32031,Nevada,"Washoe, Nevada, US",40.66562265,-119.6631594,471519,"Reno, Sparks",315485,8.6,37.5,4.7,21.8,4.3,2.7,19.3,11.4,67.9,7.3,5.4,62.5,2.1,25.3,34.7,28.9,67.8,22.2,22.5,10.0,6.0,0.0,1261.0,1261.0,16.4,2.5,24.8
36001,New York,"Albany, New York, US",42.60060306,-73.97723916,305506,Albany,97856,10.7,29.5,9.4,24.9,4.9,3.0,15.4,16.7,79.6,10.2,5.4,72.8,3.0,18.0,24.2,23.1,74.1,11.1,29.3,6.3,5.0,1.0,1341.0,1647.0,17.0,12.9,6.1
36001,New York,"Albany, New York, US",42.60060306,-73.97723916,305506,Albany,97856,10.7,29.5,9.4,24.9,4.9,3.0,15.4,16.7,79.6,10.2,5.4,72.8,3.0,18.0,24.2,23.1,74.1,11.1,29.3,6.3,5.0,1.0,1341.0,1647.0,17.0,12.9,6.1
32003,Nevada,"Clark, Nevada, US",36.21458855,-115.0130241,2266715,"North Las Vegas, Las Vegas, Henderson",1058446,9.1,23.1,6.4,21.5,3.4,2.9,11.1,11.85,69.0,15.8,2.9,63.2,2.5,16.5,40.3,12.4,60.6,11.1,23.6,6.8,23.0,6.0,3946.0,5054.0,14.7,11.8,31.4
32003,Nevada,"Clark, Nevada, US",36.21458855,-115.0130241,2266715,"North Las Vegas, Las Vegas, Henderson",1058446,9.1,23.1,6.4,21.5,3.4,2.9,11.1,11.85,69.0,15.8,2.9,63.2,2.5,16.5,40.3,12.4,60.6,11.1,23.6,6.8,23.0,6.0,3946.0,5054.0,14.7,11.8,31.4
34031,New Jersey,"Passaic, New Jersey, US",41.03238628,-74.29954144,501826,"Passaic, Paterson, Clifton",300116,9.1,33.0,14.6,31.2,4.6,3.4,16.6,19.2,80.4,26.9,6.1,72.2,3.5,15.4,40.6,20.2,71.6,15.9,32.0,6.8,5.0,0.0,1456.0,1456.0,14.5,11.2,42.3
34031,New Jersey,"Passaic, New Jersey, US",41.03238628,-74.29954144,501826,"Passaic, Paterson, Clifton",300116,9.1,33.0,14.6,31.2,4.6,3.4,16.6,19.2,80.4,26.9,6.1,72.2,3.5,15.4,40.6,20.2,71.6,15.9,32.0,6.8,5.0,0.0,1456.0,1456.0,14.5,11.2,42.3
34039,New Jersey,"Union, New Jersey, US",40.65835409,-74.30680092,556341,Elizabeth,124969,8.9,32.0,12.3,33.3,4.7,3.0,16.2,19.7,80.3,27.2,5.8,72.2,3.2,16.4,38.9,20.7,70.8,15.1,31.0,6.4,5.0,1.0,1232.0,1497.0,14.4,21.4,32.3
34039,New Jersey,"Union, New Jersey, US",40.65835409,-74.30680092,556341,Elizabeth,124969,8.9,32.0,12.3,33.3,4.7,3.0,16.2,19.7,80.3,27.2,5.8,72.2,3.2,16.4,38.9,20.7,70.8,15.1,31.0,6.4,5.0,1.0,1232.0,1497.0,14.4,21.4,32.3
34013,New Jersey,"Essex, New Jersey, US",40.78681335,-74.24657979,798975,Newark,277140,10.9,31.1,14.6,38.5,4.6,3.9,17.1,22.2,79.8,24.4,5.8,75.0,3.6,14.2,40.4,22.8,73.5,15.6,37.8,7.5,8.0,0.0,3612.0,3612.0,13.6,39.9,23.5
34013,New Jersey,"Essex, New Jersey, US",40.78681335,-74.24657979,798975,Newark,277140,10.9,31.1,14.6,38.5,4.6,3.9,17.1,22.2,79.8,24.4,5.8,75.0,3.6,14.2,40.4,22.8,73.5,15.6,37.8,7.5,8.0,0.0,3612.0,3612.0,13.6,39.9,23.5
35013,New Mexico,"Dona Ana, New Mexico, US",32.35275771,-106.8329387,218195,Las Cruces,97618,9.6,30.6,10.3,28.7,5.8,3.0,14.1,16.5,75.6,17.6,5.6,61.4,3.4,16.3,23.5,23.4,70.2,14.3,29.4,5.5,2.0,0.0,367.0,367.0,16.0,2.0,68.6
